Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2025 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.31% of 3.21 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.1    0.00    3.18                 main [1]
                0.00    3.18       1/1           Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
                0.00    0.00       1/1           Dataset::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [14]
                0.00    0.00       1/1           std::vector<Vector, std::allocator<Vector> >::vector(std::vector<Vector, std::allocator<Vector> > const&) [18]
                0.00    0.00       2/2           std::vector<Vector, std::allocator<Vector> >::~vector() [29]
                0.00    0.00       2/2           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [125]
                0.00    0.00       2/6           std::__new_allocator<char>::~__new_allocator() [91]
                0.00    0.00       2/3           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [105]
                0.00    0.00       2/2           std::vector<double, std::allocator<double> >::~vector() [118]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [146]
                0.00    0.00       1/1           Dataset::write(std::vector<double, std::allocator<double> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [129]
-----------------------------------------------
                0.00    3.18       1/1           main [1]
[2]     99.0    0.00    3.18       1         Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
                0.00    2.90  130816/130816      Analysis::pearson(Vector, Vector) [3]
                0.28    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.00    0.00  261632/1179391     Vector::~Vector() [12]
                0.00    0.00  261632/261632      std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long) [39]
                0.00    0.00  131839/393512      std::vector<Vector, std::allocator<Vector> >::size() const [34]
                0.00    0.00  130816/130816      std::vector<double, std::allocator<double> >::push_back(double const&) [41]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector() [145]
-----------------------------------------------
                0.00    2.90  130816/130816      Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
[3]     90.3    0.00    2.90  130816         Analysis::pearson(Vector, Vector) [3]
                0.50    0.40  261632/261632      Vector::operator/(double) [5]
                0.00    0.69  261632/261632      Vector::magnitude() const [6]
                0.09    0.40  261632/261632      Vector::operator-(double) [8]
                0.47    0.00  261632/261632      Vector::mean() const [9]
                0.14    0.06  130816/392448      Vector::dot(Vector) const [7]
                0.14    0.00  130816/1178879     Vector::Vector(Vector const&) [4]
                0.01    0.00  654080/1179391     Vector::~Vector() [12]
                0.00    0.00  130816/130816      double const& std::min<double>(double const&, double const&) [45]
                0.00    0.00  130816/130816      double const& std::max<double>(double const&, double const&) [44]
-----------------------------------------------
                0.00    0.00      10/1178879     void std::vector<Vector, std::allocator<Vector> >::_M_realloc_append<Vector const&>(Vector const&) [17]
                0.00    0.00     502/1178879     std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&) [15]
                0.00    0.00    1023/1178879     void std::_Construct<Vector, Vector const&>(Vector*, Vector const&) [16]
                0.14    0.00  130816/1178879     Analysis::pearson(Vector, Vector) [3]
                0.28    0.00  261632/1178879     Vector::magnitude() const [6]
                0.28    0.00  261632/1178879     Vector::operator/(double) [5]
                0.28    0.00  261632/1178879     Vector::operator-(double) [8]
                0.28    0.00  261632/1178879     Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
[4]     38.9    1.25    0.00 1178879         Vector::Vector(Vector const&) [4]
                0.00    0.00 1178879/1179391     Vector::Vector(unsigned int) [33]
-----------------------------------------------
                0.50    0.40  261632/261632      Analysis::pearson(Vector, Vector) [3]
[5]     28.0    0.50    0.40  261632         Vector::operator/(double) [5]
                0.28    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.12    0.00 133955584/468844544     Vector::operator[](unsigned int) [10]
-----------------------------------------------
                0.00    0.69  261632/261632      Analysis::pearson(Vector, Vector) [3]
[6]     21.5    0.00    0.69  261632         Vector::magnitude() const [6]
                0.29    0.12  261632/392448      Vector::dot(Vector) const [7]
                0.28    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.00    0.00  261632/1179391     Vector::~Vector() [12]
-----------------------------------------------
                0.14    0.06  130816/392448      Analysis::pearson(Vector, Vector) [3]
                0.29    0.12  261632/392448      Vector::magnitude() const [6]
[7]     19.1    0.43    0.18  392448         Vector::dot(Vector) const [7]
                0.18    0.00 200933376/468844544     Vector::operator[](unsigned int) [10]
-----------------------------------------------
                0.09    0.40  261632/261632      Analysis::pearson(Vector, Vector) [3]
[8]     15.3    0.09    0.40  261632         Vector::operator-(double) [8]
                0.28    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.12    0.00 133955584/468844544     Vector::operator[](unsigned int) [10]
-----------------------------------------------
                0.47    0.00  261632/261632      Analysis::pearson(Vector, Vector) [3]
[9]     14.6    0.47    0.00  261632         Vector::mean() const [9]
-----------------------------------------------
                0.12    0.00 133955584/468844544     Vector::operator/(double) [5]
                0.12    0.00 133955584/468844544     Vector::operator-(double) [8]
                0.18    0.00 200933376/468844544     Vector::dot(Vector) const [7]
[10]    13.4    0.43    0.00 468844544         Vector::operator[](unsigned int) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     0.6    0.02    0.00                 _init [11]
-----------------------------------------------
                0.00    0.00     512/1179391     Dataset::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [14]
                0.00    0.00    1535/1179391     void std::_Destroy<Vector>(Vector*) [26]
                0.00    0.00  261632/1179391     Vector::magnitude() const [6]
                0.00    0.00  261632/1179391     Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
                0.01    0.00  654080/1179391     Analysis::pearson(Vector, Vector) [3]
[12]     0.3    0.01    0.00 1179391         Vector::~Vector() [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     0.3    0.01    0.00                 Vector::operator[](unsigned int) const [13]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[14]     0.0    0.00    0.00       1         Dataset::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [14]
                0.00    0.00     512/512         std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&) [15]
                0.00    0.00     512/1179391     Vector::~Vector() [12]
                0.00    0.00     512/512         std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [52]
                0.00    0.00     512/1179391     Vector::Vector(unsigned int) [33]
                0.00    0.00     512/512         Vector::get_data() [47]
                0.00    0.00     512/512         std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream&) [48]
                0.00    0.00     512/512         double* std::copy_n<std::istream_iterator<double, char, std::char_traits<char>, long>, unsigned int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, unsigned int, double*) [51]
                0.00    0.00       1/1           std::vector<Vector, std::allocator<Vector> >::vector() [144]
                0.00    0.00       1/1           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string() [151]
